NumCom,Combinacion,TP,TN,FP,FN
372,0010111010000000,28,352,30,31
373,1010111010000000,1,325,57,58
374,0110111010000000,28,352,30,31
375,1110111010000000,1,325,57,58
376,0001111010000000,23,347,35,36
377,1001111010000000,1,325,57,58
378,0101111010000000,23,347,35,36
379,1101111010000000,1,325,57,58
380,0011111010000000,28,352,30,31
381,1011111010000000,1,325,57,58
382,0111111010000000,28,352,30,31
383,1111111010000000,1,325,57,58
384,0000000110000000,19,343,39,40
385,1000000110000000,1,325,57,58
386,0100000110000000,19,343,39,40
387,1100000110000000,1,325,57,58
388,0010000110000000,31,355,27,28
389,1010000110000000,1,325,57,58
390,0110000110000000,31,355,27,28
391,1110000110000000,1,325,57,58
392,0001000110000000,11,335,47,48
393,1001000110000000,1,325,57,58
394,0101000110000000,11,335,47,48
395,1101000110000000,1,325,57,58
396,0011000110000000,27,351,31,32
397,1011000110000000,1,325,57,58
398,0111000110000000,27,351,31,32
399,1111000110000000,1,325,57,58
400,0000100110000000,32,356,26,27
401,1000100110000000,1,325,57,58
402,0100100110000000,32,356,26,27
403,1100100110000000,1,325,57,58
404,0010100110000000,30,354,28,29
405,1010100110000000,1,325,57,58
406,0110100110000000,30,354,28,29
407,1110100110000000,1,325,57,58
408,0001100110000000,21,345,37,38
409,1001100110000000,1,325,57,58
410,0101100110000000,21,345,37,38
411,1101100110000000,1,325,57,58
412,0011100110000000,26,350,32,33
413,1011100110000000,1,325,57,58
414,0111100110000000,26,350,32,33
415,1111100110000000,1,325,57,58
416,0000010110000000,21,345,37,38
417,1000010110000000,1,325,57,58
418,0100010110000000,21,345,37,38
419,1100010110000000,1,325,57,58
420,0010010110000000,26,350,32,33
421,1010010110000000,1,325,57,58
422,0110010110000000,26,350,32,33
423,1110010110000000,1,325,57,58
424,0001010110000000,16,340,42,43
425,1001010110000000,1,325,57,58
426,0101010110000000,16,340,42,43
427,1101010110000000,1,325,57,58
428,0011010110000000,26,350,32,33
429,1011010110000000,1,325,57,58
430,0111010110000000,26,350,32,33
431,1111010110000000,1,325,57,58
432,0000110110000000,24,348,34,35
433,1000110110000000,1,325,57,58
434,0100110110000000,24,348,34,35
435,1100110110000000,1,325,57,58
436,0010110110000000,26,350,32,33
437,1010110110000000,1,325,57,58
438,0110110110000000,26,350,32,33
439,1110110110000000,1,325,57,58
440,0001110110000000,19,343,39,40
441,1001110110000000,1,325,57,58
442,0101110110000000,19,343,39,40
443,1101110110000000,1,325,57,58
444,0011110110000000,27,351,31,32
445,1011110110000000,1,325,57,58
446,0111110110000000,27,351,31,32
447,1111110110000000,1,325,57,58
448,0000001110000000,26,350,32,33
449,1000001110000000,2,326,56,57
450,0100001110000000,26,350,32,33
451,1100001110000000,2,326,56,57
452,0010001110000000,31,355,27,28
453,1010001110000000,1,325,57,58
454,0110001110000000,31,355,27,28
455,1110001110000000,1,325,57,58
456,0001001110000000,21,345,37,38
457,1001001110000000,1,325,57,58
458,0101001110000000,21,345,37,38
459,1101001110000000,1,325,57,58
460,0011001110000000,28,352,30,31
461,1011001110000000,1,325,57,58
462,0111001110000000,28,352,30,31
463,1111001110000000,1,325,57,58
464,0000101110000000,28,352,30,31
465,1000101110000000,2,326,56,57
466,0100101110000000,28,352,30,31
467,1100101110000000,2,326,56,57
468,0010101110000000,30,354,28,29
469,1010101110000000,1,325,57,58
470,0110101110000000,30,354,28,29
471,1110101110000000,1,325,57,58
472,0001101110000000,24,348,34,35
473,1001101110000000,1,325,57,58
474,0101101110000000,24,348,34,35
475,1101101110000000,1,325,57,58
476,0011101110000000,27,351,31,32
477,1011101110000000,1,325,57,58
478,0111101110000000,27,351,31,32
479,1111101110000000,1,325,57,58
480,0000011110000000,24,348,34,35
481,1000011110000000,1,325,57,58
482,0100011110000000,24,348,34,35
483,1100011110000000,1,325,57,58
484,0010011110000000,27,351,31,32
485,1010011110000000,1,325,57,58
486,0110011110000000,27,351,31,32
487,1110011110000000,1,325,57,58
488,0001011110000000,20,344,38,39
489,1001011110000000,1,325,57,58
490,0101011110000000,20,344,38,39
491,1101011110000000,1,325,57,58
492,0011011110000000,26,350,32,33
493,1011011110000000,1,325,57,58
494,0111011110000000,26,350,32,33
495,1111011110000000,1,325,57,58
496,0000111110000000,27,351,31,32
497,1000111110000000,1,325,57,58
498,0100111110000000,27,351,31,32
499,1100111110000000,1,325,57,58
500,0010111110000000,28,352,30,31
501,1010111110000000,1,325,57,58
502,0110111110000000,28,352,30,31
503,1110111110000000,1,325,57,58
504,0001111110000000,21,345,37,38
505,1001111110000000,1,325,57,58
506,0101111110000000,21,345,37,38
507,1101111110000000,1,325,57,58
508,0011111110000000,28,352,30,31
509,1011111110000000,1,325,57,58
510,0111111110000000,28,352,30,31
511,1111111110000000,1,325,57,58
512,0000000001000000,13,337,45,46
513,1000000001000000,1,325,57,58
514,0100000001000000,13,337,45,46
515,1100000001000000,1,325,57,58
516,0010000001000000,30,354,28,29
517,1010000001000000,1,325,57,58
518,0110000001000000,30,354,28,29
519,1110000001000000,1,325,57,58
520,0001000001000000,7,331,51,52
521,1001000001000000,1,325,57,58
522,0101000001000000,7,331,51,52
523,1101000001000000,1,325,57,58
524,0011000001000000,27,351,31,32
525,1011000001000000,1,325,57,58
526,0111000001000000,27,351,31,32
527,1111000001000000,1,325,57,58
528,0000100001000000,28,352,30,31
529,1000100001000000,1,325,57,58
530,0100100001000000,28,352,30,31
531,1100100001000000,1,325,57,58
532,0010100001000000,30,354,28,29
533,1010100001000000,1,325,57,58
534,0110100001000000,30,354,28,29
535,1110100001000000,1,325,57,58
536,0001100001000000,19,343,39,40
537,1001100001000000,1,325,57,58
538,0101100001000000,19,343,39,40
539,1101100001000000,1,325,57,58
540,0011100001000000,28,352,30,31
541,1011100001000000,1,325,57,58
542,0111100001000000,28,352,30,31
543,1111100001000000,1,325,57,58
544,0000010001000000,19,343,39,40
545,1000010001000000,1,325,57,58
546,0100010001000000,19,343,39,40
547,1100010001000000,1,325,57,58
548,0010010001000000,28,352,30,31
549,1010010001000000,1,325,57,58
550,0110010001000000,28,352,30,31
551,1110010001000000,1,325,57,58
552,0001010001000000,12,336,46,47
553,1001010001000000,1,325,57,58
554,0101010001000000,12,336,46,47
555,1101010001000000,1,325,57,58
556,0011010001000000,26,350,32,33
557,1011010001000000,1,325,57,58
558,0111010001000000,26,350,32,33
559,1111010001000000,1,325,57,58
560,0000110001000000,24,348,34,35
561,1000110001000000,1,325,57,58
562,0100110001000000,24,348,34,35
563,1100110001000000,1,325,57,58
564,0010110001000000,26,350,32,33
565,1010110001000000,1,325,57,58
566,0110110001000000,26,350,32,33
567,1110110001000000,1,325,57,58
568,0001110001000000,18,342,40,41
569,1001110001000000,1,325,57,58
570,0101110001000000,18,342,40,41
571,1101110001000000,1,325,57,58
572,0011110001000000,27,351,31,32
573,1011110001000000,1,325,57,58
574,0111110001000000,27,351,31,32
575,1111110001000000,1,325,57,58
576,0000001001000000,25,349,33,34
577,1000001001000000,2,326,56,57
578,0100001001000000,25,349,33,34
579,1100001001000000,2,326,56,57
580,0010001001000000,31,355,27,28
581,1010001001000000,1,325,57,58
582,0110001001000000,31,355,27,28
583,1110001001000000,1,325,57,58
584,0001001001000000,21,345,37,38
585,1001001001000000,1,325,57,58
586,0101001001000000,21,345,37,38
587,1101001001000000,1,325,57,58
588,0011001001000000,28,352,30,31
589,1011001001000000,1,325,57,58
590,0111001001000000,28,352,30,31
591,1111001001000000,1,325,57,58
